year,sem,college,dept,num,section,instructor,course_name,course_level,total_students,response_count,response_rate_raw,hrs_per_week,interest_in_student_learning,clearly_explain_course_requirements,clear_learning_objectives_and_goals,instructor_provides_feedback_to_students_to_improve,demonstrate_importance_of_subject_matter,explains_subject_matter_of_course,show_respect_for_all_students,overall_teaching_rate,overall_course_rate,canonical_course_id,response_rate_pct,record_type,course_key,source_file,row_hash
2022,Spring,Heinz College,AEM,93732,A3,"MOORE, KARYN",DB THRY PRC CRTV ENT,Graduate,32,12,37.5%,10.0,4.75,4.83,4.83,4.33,4.92,4.92,4.92,4.75,4.58,93-732,37.5,instructor,"2022__SPRING__AEM__93732__A3__MOORE,_KARYN__DB_THRY_PRC_CRTV_ENT",CMU_FCE_2021Fall-2022Sum_FULL.csv,6bfd8a0da5544fa17860b144771c52a26038c527263fbb899eae78bec2431a88
2022,Spring,Heinz College,AEM,93804,A4,"POULIN, JEFF",ARTS IN EDUCATION,Graduate,15,8,53.3%,5.75,3.38,3.63,3.75,1.88,4.63,4.13,4.25,3.25,3.25,93-804,53.3,instructor,"2022__SPRING__AEM__93804__A4__POULIN,_JEFF__ARTS_IN_EDUCATION",CMU_FCE_2021Fall-2022Sum_FULL.csv,67f8555138c54e7c3d7f8e8a54b55aaff1a2841f844e545f35f9463e805a2d1e
2022,Spring,Heinz College,AEM,93808,A4,"DONALDSON, LESLIE",EXHIBITIONS MGMNT,Graduate,14,10,71.4%,8.3,4.9,4.7,4.90,4.8,4.8,4.6,5.0,4.8,4.6,93-808,71.4,instructor,"2022__SPRING__AEM__93808__A4__DONALDSON,_LESLIE__EXHIBITIONS_MGMNT",CMU_FCE_2021Fall-2022Sum_FULL.csv,bb240ce4c801da90759dac169f43a126e43ba9eec2101e6e6dd150598475ea0d
2022,Spring,Heinz College,AEM,93812,A4,"MILLER, RANDAL",PRES PERF ART & FEST,Graduate,17,9,52.9%,7.33,4.22,4.0,4.00,4.33,4.44,4.33,4.56,4.22,4.0,93-812,52.9,instructor,"2022__SPRING__AEM__93812__A4__MILLER,_RANDAL__PRES_PERF_ART_&_FEST",CMU_FCE_2021Fall-2022Sum_FULL.csv,9374edbc262543a5967ed1be4beb0c4200d03cb94b03c4d6f14e31aaf365ace6
2022,Spring,Heinz College,AEM,93813,A3,"MCMAHON, J",ARTS FACILITIES MNGT,Graduate,14,5,35.7%,4.4,4.6,4.4,4.20,4.2,4.6,4.6,4.4,4.2,4.6,93-813,35.7,instructor,"2022__SPRING__AEM__93813__A3__MCMAHON,_J__ARTS_FACILITIES_MNGT",CMU_FCE_2021Fall-2022Sum_FULL.csv,6afbfda3eb1f1ee51388acb7e03b4c988ebf4c3353b5b824afddbfefec94f6f9
2022,Spring,Heinz College,AEM,93815,A4,"CRAWFORD, BRETT",AUD ENGT USR EXP DES,Graduate,26,21,80.8%,8.43,4.86,4.14,4.57,4.52,4.9,4.76,5.0,4.81,4.57,93-815,80.8,instructor,"2022__SPRING__AEM__93815__A4__CRAWFORD,_BRETT__AUD_ENGT_USR_EXP_DES",CMU_FCE_2021Fall-2022Sum_FULL.csv,8bb1274ada19a51464cc0ad04a1744cffd89b64a0fee7bbe94ae85fc5295aa0c
2022,Spring,Heinz College,AEM,93821,A3,"CRAWFORD, BRETT",EXT REL: ARTS MKT PR,Graduate,33,10,30.3%,11.0,4.5,3.5,3.70,4.0,4.6,3.8,4.5,4.1,3.4,93-821,30.3,instructor,"2022__SPRING__AEM__93821__A3__CRAWFORD,_BRETT__EXT_REL:_ARTS_MKT_PR",CMU_FCE_2021Fall-2022Sum_FULL.csv,c8795f8188962e7f68fe70f540ef7f4d6e53fcd9ac982548d964a6b53746a2f9
2022,Spring,Heinz College,AEM,93826,A3,"DONALDSON, LESLIE",EXT REL: FUN IND GIV,Graduate,31,11,35.5%,8.55,4.27,4.45,4.36,4.0,4.27,4.27,4.73,4.27,3.91,93-826,35.5,instructor,"2022__SPRING__AEM__93826__A3__DONALDSON,_LESLIE__EXT_REL:_FUN_IND_GIV",CMU_FCE_2021Fall-2022Sum_FULL.csv,ec39e8b91652255fd92b69e2b5785a17c178ca3c9b250cc76a699f253cc9fbde
2022,Spring,Heinz College,AEM,93827,A4,"DONALDSON, LESLIE",EXT REL: FUN INS GIV,Graduate,32,17,53.1%,7.47,4.41,4.41,4.41,4.44,4.44,4.41,4.88,4.35,4.12,93-827,53.1,instructor,"2022__SPRING__AEM__93827__A4__DONALDSON,_LESLIE__EXT_REL:_FUN_INS_GIV",CMU_FCE_2021Fall-2022Sum_FULL.csv,4b009e11597b55611bcc8bc3f475f9b211e8056a36bd965e63ea0b86e1b44bc1
2022,Spring,Heinz College,AEM,93830,A,"CRAWFORD, BRETT",DISRPT TECH ARTS ENT,Graduate,31,23,74.2%,4.35,4.7,3.78,4.04,4.22,4.57,3.96,5.0,4.3,4.17,93-830,74.2,instructor,"2022__SPRING__AEM__93830__A__CRAWFORD,_BRETT__DISRPT_TECH_ARTS_ENT",CMU_FCE_2021Fall-2022Sum_FULL.csv,545a0b4995c49092b4c47e0047b0c8d8758e41044600fe39e45a1e184679438a
2022,Spring,Heinz College,AEM,93844,A3,"BAAB, JOHNNY",LIVE MUS TOUR REV ST,Graduate,23,17,73.9%,5.0,3.29,2.65,2.71,2.71,3.47,3.12,3.76,2.53,2.88,93-844,73.9,instructor,"2022__SPRING__AEM__93844__A3__BAAB,_JOHNNY__LIVE_MUS_TOUR_REV_ST",CMU_FCE_2021Fall-2022Sum_FULL.csv,efe94779346a3db2cc4309c14393d6c575442c4f3fd0da45c6f42dc90d7685ff
2022,Spring,Heinz College,AEM,93846,A3,"DONALDSON, LESLIE",CULTURAL PLCY ADVCY,Graduate,12,6,50.0%,6.0,4.83,5.0,4.67,4.83,4.83,4.67,5.0,4.83,4.83,93-846,50.0,instructor,"2022__SPRING__AEM__93846__A3__DONALDSON,_LESLIE__CULTURAL_PLCY_ADVCY",CMU_FCE_2021Fall-2022Sum_FULL.csv,ab23eb60d1bd571b3dd45e020d880dee4e028230b8358effd492f28d62e16ece
2022,Spring,Heinz College,AEM,93870,A,"SKOPOV, Emily",INTRO WRTG FOR TV,Graduate,24,13,54.2%,7.54,4.85,4.77,4.77,4.77,5.0,4.62,4.85,4.62,4.77,93-870,54.2,instructor,"2022__SPRING__AEM__93870__A__SKOPOV,_EMILY__INTRO_WRTG_FOR_TV",CMU_FCE_2021Fall-2022Sum_FULL.csv,9095df4852f72fecc7760e96f17145d63de291e9a59cb6c05ff6c46395c30f4a
2022,Spring,Heinz College,AEM,93880,A4,"WEBSTER, LOUIS",PRODUCTION ACCTG,Graduate,35,17,48.6%,3.94,3.82,3.29,3.24,2.94,3.71,3.29,4.41,2.88,2.76,93-880,48.6,instructor,"2022__SPRING__AEM__93880__A4__WEBSTER,_LOUIS__PRODUCTION_ACCTG",CMU_FCE_2021Fall-2022Sum_FULL.csv,388ea9ab8aad5c1dfb650cb46a37b9d96512ee009fafa07c7c804101e9202480
2022,Spring,College of Fine Arts,ARC,48026,A,"WORKINGER, HEATHER",FRST YR SEM:ARCH ED,Undergraduate,54,33,61.1%,4.84,4.19,4.0,4.06,3.81,4.06,3.97,4.53,3.97,3.75,48-026,61.1,instructor,"2022__SPRING__ARC__48026__A__WORKINGER,_HEATHER__FRST_YR_SEM:ARCH_ED",CMU_FCE_2021Fall-2022Sum_FULL.csv,b57dcd79ead820a5c76df01a1ef557f2f7acb0679c52ea15eadb0d6abad1e1a3
2022,Spring,College of Fine Arts,ARC,48105,1,"HAYES, HAL",ARC DSGN STU: POE 2,Undergraduate,57,38,66.7%,25.76,4.76,4.42,4.45,4.47,4.63,4.39,4.84,4.55,4.45,48-105,66.7,instructor,"2022__SPRING__ARC__48105__1__HAYES,_HAL__ARC_DSGN_STU:_POE_2",CMU_FCE_2021Fall-2022Sum_FULL.csv,f90a0131952d41d0547afda3a26d994045b23465038f8e4d48c94f43a38529e8
2022,Spring,College of Fine Arts,ARC,48105,C,"HUGHES, ELIJAH",ARC DSGN STU: POE 2,Undergraduate,11,8,72.7%,25.0,4.75,4.63,4.63,4.38,4.63,4.75,4.88,4.63,4.75,48-105,72.7,instructor,"2022__SPRING__ARC__48105__C__HUGHES,_ELIJAH__ARC_DSGN_STU:_POE_2",CMU_FCE_2021Fall-2022Sum_FULL.csv,49b6fdf97511b0f636d858339ebc3fb4449120c6a1bae00a773a2f301d49e48b
2022,Spring,College of Fine Arts,ARC,48105,D,"KIM, PHYLLIS",ARC DSGN STU: POE 2,Undergraduate,11,10,90.9%,26.1,4.1,3.6,4.00,4.3,3.9,3.9,4.2,3.8,4.1,48-105,90.9,instructor,"2022__SPRING__ARC__48105__D__KIM,_PHYLLIS__ARC_DSGN_STU:_POE_2",CMU_FCE_2021Fall-2022Sum_FULL.csv,3f53f9761ec3a58d77549d4039ae7a2021bd0f3c80b03e9669d3744d798bda9e
2022,Spring,College of Fine Arts,ARC,48105,1,"ARSCOTT, MARY-LOU",ARC DSGN STU: POE 2,Undergraduate,57,38,66.7%,25.76,4.53,4.26,4.37,4.16,4.53,4.47,4.74,4.32,4.37,48-105,66.7,instructor,"2022__SPRING__ARC__48105__1__ARSCOTT,_MARY-LOU__ARC_DSGN_STU:_POE_2",CMU_FCE_2021Fall-2022Sum_FULL.csv,511ed202c29e07865323298bd52b11e1e63b0f7c19ee66d3ec3542e0278e3e02
