Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2026,Spring,Heinz College,AEM,93721,A3,"IYER, Jenee",ARTS MANAGEMENT & IP,Graduate,13,7,53.8%,5.86,4.57,4.57,4.43,4.00,4.57,4.71,4.86,4.57,4.57
2026,Spring,Heinz College,AEM,93807,A3,"STEWART, GRACE",MUSEUM OPERATIONS,Graduate,18,10,55.6%,7.33,3.00,2.67,2.33,1.89,2.67,2.78,4.00,2.33,2.00
2026,Spring,Heinz College,AEM,93807,A3,,MUSEUM OPERATIONS,Graduate,18,10,55.6%,7.10,3.20,2.70,2.40,2.10,2.80,2.90,4.80,2.70,2.20
2026,Spring,Heinz College,AEM,93826,A3,"MCMAHON, JAMIE",FUNDR & INDIV GIVING,Graduate,26,14,53.8%,7.14,4.21,4.36,4.07,3.57,4.43,3.79,4.64,4.07,3.93
2026,Spring,Heinz College,AEM,93831,A3,"SOLOMON, MARCIE",LAW FUND ARTS MNGERS,Graduate,30,23,76.7%,7.52,4.09,4.09,4.17,3.61,4.22,3.96,4.74,3.91,3.91
2026,Spring,Heinz College,AEM,93844,A3,"BERLIN, LIZ",LIVE MUS TOUR REV ST,Graduate,18,12,66.7%,6.50,4.17,4.08,4.17,4.00,4.42,3.92,4.75,4.00,3.83
2026,Spring,Heinz College,AEM,93846,A3,"POULIN, JEFF",CULTURAL PLCY ADVCY,Graduate,9,6,66.7%,8.00,4.83,4.50,4.83,4.33,5.00,4.83,5.00,4.83,4.83
2026,Spring,College of Fine Arts,ARC,48386,A3,"ABRAHAM, JARED",PORT RES PREP,Undergraduate,8,1,12.5%,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2026,Spring,College of Fine Arts,ARC,48575,A3,"COCHRAN, ERICA",NOMAS COMP,Undergraduate,5,0,0.0%,,,,,,,,,,
2026,Spring,College of Fine Arts,ARC,48627,A3,"NEWMAN- PERRY, MORGAN",EXPL AFTR ARCH PRAC,Graduate,4,1,25.0%,5.00,5.00,4.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00
2026,Spring,College of Fine Arts,ARC,48661,A3,"CLAUS, LORI",PROF DVP,Graduate,9,2,22.2%,2.00,5.00,4.50,5.00,5.00,4.50,5.00,5.00,4.50,5.00
2026,Spring,College of Fine Arts,ARC,48677,A3,"DANES, STEFANI",HINES COMP,Graduate,12,3,25.0%,13.33,4.67,4.67,4.00,4.33,4.33,4.33,4.33,4.33,4.67
2026,Spring,College of Fine Arts,ARC,48786,A3,"ABRAHAM, JARED",PORT RES PREP,Graduate,2,0,0.0%,,,,,,,,,,
2026,Spring,College of Fine Arts,ART,60208,A3,"BLUM, AARON",ALTERNATIVE PHOTO,Undergraduate,2,0,0.0%,,,,,,,,,,
