Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2025,Spring,College of Fine Arts,ARC,48105,B,"CHANG, GLORIA",ARC DSGN STU: POE 2,Undergraduate,12,2,16.7%,24.00,5.00,4.50,4.50,4.50,4.50,4.50,5.00,4.50,5.00
2025,Spring,College of Fine Arts,ARC,48111,A,"TORELLO, FRANCESCA",EXPLR PGH,Undergraduate,50,8,16.0%,2.00,4.63,4.13,4.13,4.38,4.25,4.13,4.50,4.25,3.88
2025,Spring,College of Fine Arts,ARC,48112,13,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,29,4,13.8%,2.75,4.25,4.25,4.50,4.75,4.50,4.50,4.75,4.75,4.75
2025,Spring,College of Fine Arts,ARC,48112,A3,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,9,2,22.2%,2.00,4.50,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48112,B3,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,10,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48112,C3,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,10,1,10.0%,2.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00
2025,Spring,College of Fine Arts,ARC,48112,14,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,25,5,20.0%,3.80,3.80,3.80,3.60,4.00,3.80,4.20,4.00,3.80,4.00
2025,Spring,College of Fine Arts,ARC,48205,1,"ARSCOTT, MARY-LOU",ARC OPTIONS STU:,Undergraduate,48,9,18.8%,21.11,3.67,3.78,3.78,3.78,3.78,3.89,3.78,3.78,3.89
2025,Spring,College of Fine Arts,ARC,48205,C,"STONE, ANDREW",ARC OPTIONS STU:,Undergraduate,16,11,68.8%,19.82,4.82,4.82,4.82,4.82,4.82,4.73,5.00,4.82,4.91
2025,Spring,College of Fine Arts,ARC,48205,A,"ABRAHAM, JARED",ARC OPTIONS STU:,Undergraduate,16,6,37.5%,20.67,4.33,4.50,4.33,4.00,4.33,4.00,5.00,4.50,4.50
2025,Spring,College of Fine Arts,ARC,48205,B,"ACHNANI, VICKY",ARC OPTIONS STU:,Undergraduate,16,5,31.3%,24.00,4.00,3.40,3.40,3.20,3.60,3.60,3.00,3.00,3.20
2025,Spring,College of Fine Arts,ARC,48234,1,"LEE, JUNEY",STRUCTURES I,Undergraduate,47,23,48.9%,9.74,2.70,2.61,2.74,2.35,3.22,2.22,3.43,2.35,2.30
2025,Spring,College of Fine Arts,ARC,48240,A,"SHAW, DIANE",HIS WLD ARC,Undergraduate,60,19,31.7%,7.47,2.79,2.95,3.05,2.58,3.11,3.58,3.58,3.05,2.84
2025,Spring,College of Fine Arts,ARC,48241,A,"GUTSCHOW, KAI",MOD HIS ARCH & THRY,Undergraduate,56,24,42.9%,9.88,3.38,3.21,3.04,2.88,3.29,3.08,3.46,3.00,2.67
2025,Spring,College of Fine Arts,ARC,48305,1,"FICCA, JEREMY",ARC DSGN STU:PRX 2,Undergraduate,43,18,41.9%,23.44,3.00,3.50,3.17,2.39,3.17,3.44,2.61,2.56,2.28
2025,Spring,College of Fine Arts,ARC,48305,D,"MCCULLOUGH, JOEL",ARC DSGN STU:PRX 2,Undergraduate,11,3,27.3%,24.00,3.33,2.33,2.67,3.00,2.67,3.00,4.00,2.33,1.67
2025,Spring,College of Fine Arts,ARC,48305,B,"KARIMI, MARYAM",ARC DSGN STU:PRX 2,Undergraduate,10,3,30.0%,24.00,5.00,4.00,3.67,4.00,4.00,3.33,4.33,3.67,3.67
2025,Spring,College of Fine Arts,ARC,48305,A,"FISHER, KRISTINA",ARC DSGN STU:PRX 2,Undergraduate,11,4,36.4%,21.50,4.25,3.75,3.75,3.75,3.75,4.00,4.50,3.75,3.00
2025,Spring,College of Fine Arts,ARC,48305,C,"KWON, JONGWAN",ARC DSGN STU:PRX 2,Undergraduate,11,9,81.8%,23.22,4.44,4.22,4.22,4.22,4.44,4.56,4.33,4.67,4.00
2025,Spring,College of Fine Arts,ARC,48314,B,"KWON, JONGWAN",NEW PDGOG,Undergraduate,9,6,66.7%,11.50,4.33,4.50,4.67,4.50,4.83,4.00,4.67,4.67,4.50
2025,Spring,College of Fine Arts,ARC,48314,D,"STONE, ANDREW",NEW PDGOG,Undergraduate,4,2,50.0%,6.50,4.50,4.50,4.50,4.50,4.00,3.00,4.00,4.00,4.00
2025,Spring,College of Fine Arts,ARC,48324,1,"LEE, JUNEY",STRU DSG 2 (UG),Undergraduate,45,15,33.3%,9.60,3.80,3.67,3.87,3.40,4.13,3.60,3.93,3.87,3.80
2025,Spring,College of Fine Arts,ARC,48328,A,"DAMIANI, GERARD",DETAILG ARCHITECTURE,Undergraduate,15,8,53.3%,8.75,4.75,4.25,4.13,4.38,4.75,4.50,4.88,4.75,4.63
2025,Spring,College of Fine Arts,ARC,48355,A,"COOPER, DOUGLAS",PERSPECTIVE,Undergraduate,6,3,50.0%,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48367,A,"TORELLO, FRANCESCA",MATERIAL HISTORIES,Undergraduate,6,1,16.7%,8.00,3.00,2.00,2.00,3.00,3.00,3.00,4.00,3.00,3.00
2025,Spring,College of Fine Arts,ARC,48380,A,"VOLCY, ALICIA",CONSTRU VLU,Undergraduate,45,17,37.8%,5.88,2.29,2.00,2.47,1.88,2.82,2.06,3.12,2.41,1.82
2025,Spring,College of Fine Arts,ARC,48381,A,"ALENJERY, NILOUFAR",IOP,Undergraduate,36,15,41.7%,6.60,4.20,3.93,4.27,3.93,4.33,3.87,4.00,3.87,3.93
2025,Spring,College of Fine Arts,ARC,48383,A,"NISA, RICHARD",ETHICS,Undergraduate,43,14,32.6%,5.43,4.57,4.50,4.50,4.29,4.64,4.50,4.71,4.71,4.43
2025,Spring,College of Fine Arts,ARC,48386,A3,"ABRAHAM, JARED",PORT RES PREP,Undergraduate,5,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48410,G,"PATEL, MISRI",ASOS II,Undergraduate,2,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48410,E,"GAROFALO, LAURA",ASOS II,Undergraduate,4,3,75.0%,20.67,2.67,2.67,3.00,2.67,3.33,3.00,2.33,2.67,2.00
2025,Spring,College of Fine Arts,ARC,48410,A,"ANKLESARIA, SAROSH",ASOS II,Undergraduate,6,4,66.7%,24.00,4.50,3.75,4.50,4.00,4.25,4.00,4.67,4.33,4.00
2025,Spring,College of Fine Arts,ARC,48410,B,"BIZON, HEATHER",ASOS II,Undergraduate,6,2,33.3%,21.00,4.50,4.00,4.50,4.50,5.00,5.00,5.00,4.50,4.50
2025,Spring,College of Fine Arts,ARC,48410,D,"DAMIANI, GERARD",ASOS II,Undergraduate,4,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48410,1,"ARSCOTT, MARY-LOU",ASOS II,Undergraduate,33,6,18.2%,18.67,4.17,4.17,4.17,4.00,4.17,4.17,4.17,4.17,4.00
2025,Spring,College of Fine Arts,ARC,48410,F,"HAYES, HAL",ASOS II,Undergraduate,4,1,25.0%,24.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48410,C,"CUPKOVA, DANA",ASOS II,Undergraduate,7,5,71.4%,20.20,5.00,4.60,4.60,5.00,5.00,4.80,4.60,4.60,4.80
2025,Spring,College of Fine Arts,ARC,48433,A,"MCFARLAND, JACKIE",AFROF OTH WAYS SNG,Undergraduate,2,1,50.0%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48440,A,"SHAW, DIANE",AMERICAN REGIONALISM,Undergraduate,4,2,50.0%,5.00,4.50,5.00,5.00,4.50,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48442,A,"CHEN, XIN",HIST ASIAN ARCH,Undergraduate,11,2,18.2%,6.50,4.50,4.50,4.50,4.50,4.50,4.50,5.00,4.50,4.50
2025,Spring,College of Fine Arts,ARC,48485,A,"SAWYER, NATHAN",DSN DOC IN REVIT,Undergraduate,11,11,100.0%,5.82,3.91,3.91,4.00,3.55,3.82,3.91,4.27,3.91,3.55
2025,Spring,College of Fine Arts,ARC,48497,A,"ARSCOTT, MARY-LOU",PRE-THESIS,Undergraduate,14,4,28.6%,3.50,4.25,3.75,3.75,4.00,4.00,4.00,4.25,4.00,3.75
2025,Spring,College of Fine Arts,ARC,48497,B,"ARSCOTT, MARY-LOU",PRE-THESIS,Undergraduate,9,3,33.3%,3.00,5.00,4.00,4.00,3.67,4.67,4.00,5.00,4.33,4.00
2025,Spring,College of Fine Arts,ARC,48510,1,"ARSCOTT, MARY-LOU",ASOS IV,Undergraduate,18,3,16.7%,21.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48510,F,"HAYES, HAL",ASOS IV,Undergraduate,2,1,50.0%,24.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48510,C,"CUPKOVA, DANA",ASOS IV,Undergraduate,2,2,100.0%,20.50,4.50,3.00,3.50,4.50,4.50,4.00,4.50,4.00,4.00
2025,Spring,College of Fine Arts,ARC,48510,A,"ANKLESARIA, SAROSH",ASOS IV,Undergraduate,4,1,25.0%,17.00,4.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00
2025,Spring,College of Fine Arts,ARC,48510,E,"GAROFALO, LAURA",ASOS IV,Undergraduate,3,1,33.3%,24.00,5.00,3.00,4.00,5.00,4.00,5.00,5.00,4.00,5.00
2025,Spring,College of Fine Arts,ARC,48510,B,"BIZON, HEATHER",ASOS IV,Undergraduate,4,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48510,G,"PATEL, MISRI",ASOS IV,Undergraduate,2,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48516,A4,"Khan, Omar",CRNVL GTWY,Undergraduate,13,3,23.1%,6.00,5.00,5.00,5.00,5.00,4.33,5.00,5.00,5.00,4.67
2025,Spring,College of Fine Arts,ARC,48517,A,"Khan, Omar",CRNVL GTWY PROJ MGMT,Graduate,6,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48519,C,"SINDI, TULIZA",ARC STUDIO: TH II/IP,Undergraduate,6,1,16.7%,24.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48519,B,"KARIMI, MARYAM",ARC STUDIO: TH II/IP,Undergraduate,2,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48519,A,"ARSCOTT, MARY-LOU",ARC STUDIO: TH II/IP,Undergraduate,14,2,14.3%,24.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48545,A,"HITCH, NEAL",DES FAB,Undergraduate,6,4,66.7%,7.25,4.75,4.50,4.50,4.75,4.75,4.75,5.00,4.75,4.75
2025,Spring,College of Fine Arts,ARC,48557,A,"BIZON, HEATHER",FORM AS AN OP,Undergraduate,5,1,20.0%,8.00,5.00,2.00,3.00,4.00,5.00,2.00,5.00,4.00,4.00
2025,Spring,College of Fine Arts,ARC,48569,A,"KURLAND, KRISTEN",GIS CAFM,Undergraduate,12,3,25.0%,10.00,4.33,4.67,5.00,4.33,5.00,4.67,4.67,4.67,4.67
2025,Spring,College of Fine Arts,ARC,48599,C,"ARSCOTT, MARY-LOU",INDEPENDENT STUDY,Undergraduate,2,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48614,C,"NOEL, VERNELLE",NEW PEDGOG,Graduate,2,1,50.0%,14.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48614,B,"KWON, JONGWAN",NEW PEDGOG,Graduate,5,4,80.0%,14.75,4.50,4.50,4.50,4.00,4.25,4.50,4.75,4.50,4.50
2025,Spring,College of Fine Arts,ARC,48614,E,"ISSAIAS, THEODOSSIS THEO",NEW PEDGOG,Graduate,4,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48614,D,"STONE, ANDREW",NEW PEDGOG,Graduate,2,2,100.0%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48615,A,"LEE, JOSHUA",EXP IN REUSE,Graduate,6,2,33.3%,3.50,4.50,3.50,3.50,4.50,4.50,3.50,4.50,4.50,4.00
2025,Spring,College of Fine Arts,ARC,48616,A4,"Khan, Omar",CRNVL GTWY,Graduate,10,3,30.0%,5.00,4.33,4.33,4.33,4.33,4.33,4.33,5.00,4.33,4.33
2025,Spring,College of Fine Arts,ARC,48617,A,"Khan, Omar",CRNVL GTWY PROJ MGMT,Graduate,2,1,50.0%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48626,A,"ACHNANI, VICKY",BAMBOO BEND,Graduate,8,6,75.0%,10.00,4.00,2.50,3.00,3.00,3.50,3.33,2.67,3.00,2.83
2025,Spring,College of Fine Arts,ARC,48632,A,"CHENG, JIMMY",TAXONAVIG DGT SPC,Graduate,4,3,75.0%,8.00,5.00,4.33,4.67,5.00,4.67,5.00,5.00,5.00,4.67
